생약품목코드,일반명,생약명,라틴명,원물생약명,학명,사용부위
KMH581,익지,Bitter Cardamon,Alpiniae Oxyphyllae Fructus,익지,Alpinia oxyphylla Miquel,열매
KMH583,인동,Lonicera Vine,Lonicerae Folium et Caulis,인동덩굴,Lonicera japonica Thunberg,잎줄기
KMH584,인삼,Ginseng Root,Ginseng Radix,인삼,Pax ginseng C. A. Meyer,뿌리
KMH587,인진호,Capillaris Herb,Artemisiae Capillaris Herba,사철쑥,Artemisia capillaris Thunberg,지상부
KMH588,일당귀,Japanese Angelica Root,Angelicae Acutilobae Radix,왜당귀,Angelica acutiloba Kitagawa,뿌리
KMH591,임자,Perilla Seed,Perillae Japonicae Semen,들깨,Perilla frutescens Britton,씨
KMH593,자초,Lithospermum Root,Lithospermi Radix,지치,Lithospermum erythrorhizon,뿌리
KMH604,자소엽,Perilla Leaf,Perillae Folium,차조기,Perilla frutescens Britton,잎줄기
KMH605,자소자,Perilla Fruit,Perillae Fructus,차조기,Perilla frutescens Britton,열매
KMH606,자실,Catalpa Fruit,Catalpae Fructus,개오동나무,Catalpa ovata G. Don,열매
KMH608,자오가,Acanthopanax Root,Acanthopacis Senticosi Radix Et Rhizoma,가시오갈피,Acanthopax senticosus Harms,뿌리
KMH609,자원,Aster Root,Asteris Radix et Rhizoma,개미취,Aster tataricus Linn,뿌리줄기
KMH614,작약,Peony Root,Paeoniae Radix,작약,Paeonia lactiflora Pallas,뿌리
KMH620,저령,Polyporus,Polyporus,저령,Polyporus umbellatus Fries,균핵
KMH621,저근피,Boehmeria Root,Boehmeriae Radix,모시풀,Boehmeria nivea Gaud.,뿌리
KMH622,저백피,Ailanthus Bark,Ailanthi Radicis Cortex,가중나무,Ailanthus altissima Swingle,수피
KMH623,저실자,Broussonetia Fruit,Broussonetiae Fructus,"닥나무, 꾸지나무",Broussonetia papyrifera,열매
KMH634,전호,Peucedanum Root,Peucedani Radix,바디나물,Peucedanum praeruptorum Dunn,뿌리
KMH635,절패모,Fritillaria Bulb,Fritillariae Thunbergii Bulbus,절패모,Fritillaria thunbergii Miquel,비늘줄기
KMH638,정력자,Lepidium Seed,Lepidii seu Descurainiae Semen,"다닥냉이, 재등",Lepidium apetalum Willdenow,씨
KMH639,정류,Tamarix Branch,Tamarics Cacumen,위류,Tamarix juniperi Bunge,어린가지
KMH642,정향,Clove,Syzygii Flos,정향나무,Syzygium aromaticum Merrill,봉오리꽃
KMH646,제니,Adenophora Root,Adenophorae Remotiflori Radix,모싯대,Adenophora remotiflorus Miquel,뿌리
KMH649,조각자,Gleditsia Spine,Gleditsiae Spi,조각자나무,Gleditsia japonica Miquel,가시
KMH650,조구등,Uncaria Hook,Uncariae Ramulus cum Uncus,화구등,Uncaria sinensis Havil,어린가지
KMH651,조각자열매,Gleditsia Fruit,Gleditsiae Fructus,조각자나무,Gleditsia sinensis Lamark,열매
KMH652,조장구,Rhubarb Root,Rhei Undulatai Rhizoma,종대황,Rheum undulatum Linn,뿌리줄기
KMH658,죽엽,Bamboo Leaf,Bambusae Sulcus,"솜대, 왕대",Phllylostachys nigra Munro,잎
KMH659,죽여,Bamboo Shaving,Phyllostachyos Caulis in Taeniam,"솜대, 왕대",Phyllostachys nigra Munro,중간껍질
KMH661,지실,Immature Orange Fruit,Aurantii Fructus Immaturus,탱자나무,Citrus aurantium Linn,미성숙열매
KMH662,지골피,Lycium Bark,Lycii Radicis Cortex,구기자나무,Lycium chinense Miller,뿌리껍질
